player_id,game_id,game_title,game_type,cognitive_skills,max_score,raw_best_score,raw_average_score,play_count
077bcac6-9226-4522-b11c-85f5d5a32cd1,0,Cipher Rush,minigame,Attention;Reflex,250,110,110,1
077bcac6-9226-4522-b11c-85f5d5a32cd1,3,Feed The Fishes,minigame,Memory;Attention,90,36,36,1
077bcac6-9226-4522-b11c-85f5d5a32cd1,4,Train of Thoughts,minigame,Reflex;Reasoning,200,89,89,1
077bcac6-9226-4522-b11c-85f5d5a32cd1,10,Sequence Grid,minigame,Memory,100,43,43,1
077bcac6-9226-4522-b11c-85f5d5a32cd1,17,Number Memory,minigame,Memory,125,53,53,1
077bcac6-9226-4522-b11c-85f5d5a32cd1,18,Stop The Clock,minigame,Reflex,800,416,342,2
077bcac6-9226-4522-b11c-85f5d5a32cd1,30,Level 1,level,Reflex;Attention,95,56,49,4
093af538-a039-4ea3-b6b6-d1243b9e0b1a,0,Cipher Rush,minigame,Attention;Reflex,250,170,170,1
093af538-a039-4ea3-b6b6-d1243b9e0b1a,3,Feed The Fishes,minigame,Memory;Attention,90,61,61,1
093af538-a039-4ea3-b6b6-d1243b9e0b1a,5,Match The Notes,minigame,Memory;Perception,200,147,147,1
093af538-a039-4ea3-b6b6-d1243b9e0b1a,6,Wordify,minigame,Learning,70,55,55,1
093af538-a039-4ea3-b6b6-d1243b9e0b1a,9,Precision Product,minigame,Reflex;Learning,225,151,151,1
093af538-a039-4ea3-b6b6-d1243b9e0b1a,12,"Faster, Please",minigame,Reflex,200,142,142,1
093af538-a039-4ea3-b6b6-d1243b9e0b1a,14,Word Bubble,minigame,Learning,200,146,146,1
093af538-a039-4ea3-b6b6-d1243b9e0b1a,19,Odd One Out,minigame,Reasoning,175,134,134,1
093af538-a039-4ea3-b6b6-d1243b9e0b1a,34,Level 5,level,Reasoning,190,141,141,1
0bf036d7-653e-4845-b973-cccc45b51984,3,Feed The Fishes,minigame,Memory;Attention,90,46,46,1
0bf036d7-653e-4845-b973-cccc45b51984,5,Match The Notes,minigame,Memory;Perception,200,103,71,5
0bf036d7-653e-4845-b973-cccc45b51984,6,Wordify,minigame,Learning,70,28,28,1
0bf036d7-653e-4845-b973-cccc45b51984,8,Word Reveal,minigame,Attention;Memory,170,91,91,1
0bf036d7-653e-4845-b973-cccc45b51984,9,Precision Product,minigame,Reflex;Learning,225,132,94,2
0bf036d7-653e-4845-b973-cccc45b51984,11,Perception Match,minigame,Perception;Memory,250,93,93,1
0bf036d7-653e-4845-b973-cccc45b51984,14,Word Bubble,minigame,Learning,200,91,91,1
0bf036d7-653e-4845-b973-cccc45b51984,18,Stop The Clock,minigame,Reflex,800,286,286,1
