player_id,game_id,game_title,game_type,cognitive_skills,max_score,raw_best_score,raw_average_score,play_count,normalized_best_score,normalized_average_score,best_score_percent,average_score_percent
0bf036d7-653e-4845-b973-cccc45b51984,3,Feed The Fishes,minigame,Memory;Attention,90,39,39,1,0.4333,0.4333,43.33,43.33
0bf036d7-653e-4845-b973-cccc45b51984,5,Match The Notes,minigame,Memory;Perception,200,111,51,5,0.555,0.255,55.5,25.5
0bf036d7-653e-4845-b973-cccc45b51984,6,Wordify,minigame,Learning,70,21,21,1,0.3,0.3,30.0,30.0
0bf036d7-653e-4845-b973-cccc45b51984,8,Word Reveal,minigame,Attention;Memory,170,24,24,1,0.1412,0.1412,14.12,14.12
0bf036d7-653e-4845-b973-cccc45b51984,9,Precision Product,minigame,Reflex;Learning,225,50,0,2,0.2222,0.0,22.22,0.0
0bf036d7-653e-4845-b973-cccc45b51984,11,Perception Match,minigame,Perception;Memory,250,118,118,1,0.472,0.472,47.2,47.2
0bf036d7-653e-4845-b973-cccc45b51984,14,Word Bubble,minigame,Learning,200,25,25,1,0.125,0.125,12.5,12.5
0bf036d7-653e-4845-b973-cccc45b51984,18,Stop The Clock,minigame,Reflex,800,130,130,1,0.1625,0.1625,16.25,16.25
0bf036d7-653e-4845-b973-cccc45b51984,19,Odd One Out,minigame,Reasoning,175,58,29,2,0.3314,0.1657,33.14,16.57
0bf036d7-653e-4845-b973-cccc45b51984,34,Level 5,level,Reasoning,190,42,42,1,0.2211,0.2211,22.11,22.11
116cc9df-3972-418f-8b08-06dbc9fdb86b,0,Cipher Rush,minigame,Attention;Reflex,250,12,12,1,0.048,0.048,4.8,4.8
116cc9df-3972-418f-8b08-06dbc9fdb86b,1,Match-a-Mole,minigame,Reflex;Attention,300,126,105,4,0.42,0.35,42.0,35.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,3,Feed The Fishes,minigame,Memory;Attention,90,4,0,2,0.0444,0.0,4.44,0.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,4,Train of Thoughts,minigame,Reflex;Reasoning,200,44,10,6,0.22,0.05,22.0,5.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,5,Match The Notes,minigame,Memory;Perception,200,96,96,1,0.48,0.48,48.0,48.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,6,Wordify,minigame,Learning,70,34,28,2,0.4857,0.4,48.57,40.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,8,Word Reveal,minigame,Attention;Memory,170,56,56,1,0.3294,0.3294,32.94,32.94
116cc9df-3972-418f-8b08-06dbc9fdb86b,9,Precision Product,minigame,Reflex;Learning,225,103,87,2,0.4578,0.3867,45.78,38.67
116cc9df-3972-418f-8b08-06dbc9fdb86b,10,Sequence Grid,minigame,Memory,100,32,32,1,0.32,0.32,32.0,32.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,12,"Faster, Please",minigame,Reflex,200,28,2,2,0.14,0.01,14.0,1.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,14,Word Bubble,minigame,Learning,200,34,0,2,0.17,0.0,17.0,0.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,15,Sequence Match,minigame,Memory,80,7,7,1,0.0875,0.0875,8.75,8.75
116cc9df-3972-418f-8b08-06dbc9fdb86b,16,Verbal Memory,minigame,Memory,250,36,36,1,0.144,0.144,14.4,14.4
116cc9df-3972-418f-8b08-06dbc9fdb86b,17,Number Memory,minigame,Memory,125,9,0,7,0.072,0.0,7.2,0.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,18,Stop The Clock,minigame,Reflex,800,224,121,13,0.28,0.1512,28.0,15.12
116cc9df-3972-418f-8b08-06dbc9fdb86b,30,Level 1,level,Reflex;Attention,95,27,15,4,0.2842,0.1579,28.42,15.79
116cc9df-3972-418f-8b08-06dbc9fdb86b,31,Level 2,level,Memory;Attention,100,18,1,2,0.18,0.01,18.0,1.0
116cc9df-3972-418f-8b08-06dbc9fdb86b,33,Level 4,level,Reasoning;Reflex,120,36,27,2,0.3,0.225,30.0,22.5
11e71038-d788-41ef-94c1-8a710d21ddaf,0,Cipher Rush,minigame,Attention;Reflex,250,125,72,2,0.5,0.288,50.0,28.8
11e71038-d788-41ef-94c1-8a710d21ddaf,1,Match-a-Mole,minigame,Reflex;Attention,300,210,210,1,0.7,0.7,70.0,70.0
11e71038-d788-41ef-94c1-8a710d21ddaf,2,"Good Guy, Bad Guy",minigame,Memory,200,135,135,1,0.675,0.675,67.5,67.5
1d638396-0c39-4bb7-9ac6-68bc1a59d585,0,Cipher Rush,minigame,Attention;Reflex,250,233,233,1,0.932,0.932,93.2,93.2
1d638396-0c39-4bb7-9ac6-68bc1a59d585,1,Match-a-Mole,minigame,Reflex;Attention,300,274,274,1,0.9133,0.9133,91.33,91.33
1d638396-0c39-4bb7-9ac6-68bc1a59d585,2,"Good Guy, Bad Guy",minigame,Memory,200,179,144,10,0.895,0.72,89.5,72.0
